,Star,Dist,star_mass,star_radius,Gravity
108,15,2MASS0J00584253 0651239 [de],96.0,0.027683052,34357398.705559246
109,17,2MASSI0J0103320+193536,70.0,0.049638576,7791774.769617055
110,18,SDSSp0J010752.33+004156.1 [de],51.0,0.049638576,5676864.475006711
111,19,2MASSI0J0117474 340325 [de],163.0,0.01909176,122651439.7592234
112,20,2MASS0J01415823 4633574 [de],130.0,0.01909176,97820166.67913522
113,21,SDSS0J015141.69+124429.6,70.0,0.044865636,9537781.338634906
114,25,SDSS0J020742.48+000056.2 [de],111.0,0.044865636,15124196.122692496
115,26,2MASS0J02103857 3015313,101.0,0.01431882,135108879.78930134
116,27,2MASS0J02340093 6442068,155.0,0.01909176,116631737.19435352
117,28,2MASS0J02411151 0326587 [de],152.0,0.025773876,62756844.29768305
118,29,2MASS0J02431371−2453298,35.0,0.031501404,9673534.883858822
119,30,LP0771 21,53.0,0.074457864,2621994.049458437
120,32,Teegarden's0star,12.578,0.07636704,591529.8348510398
121,33,2MASS0J02535980+3206373,184.0,0.06204822,13107991.383858629
122,34,WISE0J0254+0223,24.0,0.06204822,1709738.0065902562
123,35,DEN00255 4700,16.2,0.07636704,761868.6058663415
124,36,2MASS0J03185403 3421292 [de],45.0,0.046774812,5641120.687612322
125,37,2MASS0J03205965+1854233,47.0,0.084003744,1826743.4178001252
126,38,2MASS0J03231002 4631237,192.0,0.021955524,109242239.3624776
127,39,SDSS0J032553.17+042540.1,59.0,0.04295646,8769443.242649918
128,40,2MASS0J03264225 2102057 [de],80.0,0.017182584,74317315.6156773
129,41,2MASS0J03284265+2302051 [de],98.0,0.051547752,10115412.403244965
130,42,2MASS0J03341218 4953322,27.0,0.069684924,1524976.2549398222
131,43,LP0944 20,20.9,0.069684924,1180444.582527492
132,44,2MASP0J0345432+254023,88.0,0.070639512,4836868.386674101
133,45,Teide01,380.0,0.05250234,37809702.060339615
134,46,2MASS0J03510004 0052452,48.0,0.097367976,1388628.042645873
135,47,2MASS0J03552337+1133437,29.8,0.01909176,22423392.05414023
136,49,2MASS0J04151954−0935066,18.6,0.02863764,6220359.31703219
137,51,2MASS0J04285096 2253227 [de],85.0,0.07636704,3997458.7344838907
138,52,2MASS0J04351612 1606574,34.0,0.0954588,1023349.4360278763
139,53,2MASS0J04362788 4114465,142.0,0.037228932,28099860.75646023
140,54,2MASS0J04390101 2353083 [de],29.5,0.045820224,3853759.23749264
141,56,2MASS0J04433764+0002040,82.0,0.021000936,50993348.17348434
142,57,2MASS0J04455387 3048204 [de],42.0,0.061093632,3086273.2876530034
143,58,2MASS0J04510093 3402150 [de],69.0,0.00099277152,19201159253.699165
144,59,2MASS0J05002100+0330501 [de],44.0,0.061093632,3233238.682303147
145,60,2MASS0J05012406 0010452 [de],64.0,0.020046348,43680381.42309196
146,61,2MASS0J05160945 0445499 [de],73.0,0.044865636,9946543.396004975
147,62,2MASS0J0523−1403,40.0,0.064911984,2603677.5799610117
148,64,SDSS0J053951.99 005902.0,41.62,0.058229868,3366568.405668955
149,66,LSR00602+3910 [de],34.6,0.026728464,13283272.241358235
150,67,2MASS0J06085283 2753583,102.0,0.036274344,21260722.35514978
151,70,2MASS0J06244595 4521548 [de],39.0,0.053456928,3743118.622926092
152,71,2MASS0J06411840 4322329 [de],65.0,0.063957396,4358216.38133817
153,72,DENIS P0J0652197 253450 [de],51.0,0.0715941,2728931.82940767
154,74,2MASS0J07075327 4900503,60.0,0.068730336,3483624.1694848733
155,75,UGPS0J072227.51 054031.2,13.4,0.024819288,5966273.252163916
156,76,2MASSI0J0727182+171001 [de],29.6,0.039138108,5299916.594888397
157,77,2MASS0J07290002 3954043 [de],25.8,0.035319756,5672327.471645083
158,78,SDSS0J074201.41+205520.5 [de],49.0,0.041047284,7976350.072434372
159,80,DENIS P0J0751164 253043 [de],55.0,0.067775748,3283908.3621091284
160,81,2MASS0J07522390+1612157,60.0,0.00191872188,4469965519.3212
161,82,DENIS0J081730.0 615520,16.1,0.042001872,2503027.1511984696
162,85,2MASS0J08251968+2115521 [de],35.0,0.049638576,3895887.3848085273
163,86,SDSSp0J083008.12+482847.4 [de],43.0,0.045820224,5617343.973294357
164,87,LHS02021,55.0,0.084003744,2137678.4676384446
165,88,SDSS0J083048.80+012831.1 [de],77.0,0.043911048,10952672.436081741
166,89,2MASSI0J0835425 081923 [de],23.53,0.059184456,1842398.5607620683
167,90,2MASSI0J0847287 153237 [de],43.0,0.061093632,3159755.984978075
168,91,2MASS0J08533619 0329321,27.6,0.073503276,1401111.4082510383
169,92,2MASSI0J0859254 194926 [de],50.0,0.0477294,6019702.564869861
170,94,2MASSI0J0937347+293142,20.0,0.040092696,3412529.79867906
171,95,2MASS00939−2448,17.4,0.030546816,5114395.733824977
172,96,2MASS0J09490860 1545485 [de],59.0,0.046774812,7396136.0126472665
173,97,2MASS0J10073369 4555147,46.0,0.042001872,7151506.146281341
174,98,2MASSI0J1010148 040649 [de],55.0,0.048683988,6364545.1954602515
175,101,2MASS0J10224821+5825453 [de],60.0,0.025773876,24772438.538559098
176,102,2MASSW0J1036530 344138 [de],53.0,0.046774812,6643986.587632291
177,103,2MASS0J1047538+212423 [de],34.4,0.040092696,5869551.253727982
178,104,DEN01048 3956,13.15,0.073503276,667558.5151630852
179,105,Luhman016B,6.516,0.041047284,1060691.7769792322
180,106,Luhman016A,6.516,0.03818352,1225761.9347716253
181,107,DENIS P0J1058.7−1548,49.0,0.061093632,3600652.1689285045
182,108,TWA028,180.0,0.034365168,41803490.033818476
183,109,Cha0110913 773444,163.0,0.007636704,766571498.495146
184,111,SDSS0J111010.01+011613.1,63.0,0.008591292,234099544.18938348
185,112,2MASS0J11145133−2618235,18.2,0.031501404,5030238.139606588
186,113,TWA026,137.0,0.02863764,45816625.07706505
187,115,2MASS0J11544223 3400390 [de],129.0,0.035319756,28361637.358225416
188,116,2MASSW0J1155395 372735 [de],31.0,0.061093632,2277963.617077217
189,119,2MASS0J12074836 3900043,217.0,0.016227996,225999213.9406158
190,120,2MASSI0J1217110 031113 [de],36.0,0.040092696,6142553.637622307
191,123,2M01237+6526,45.6,0.039138108,8164736.375909151
192,125,TWA029,262.0,0.001909176,19714525899.948788
193,126,SDSSp0J125453.90 012247.4 [de],38.0,0.044865636,5177652.726687522
194,127,Kelu 1A,61.0,0.060139044,4625873.72709828
195,128,Kelu 1B,61.0,0.055366104,5457815.940206027
196,129,2MASS0J13204427+0409045,101.0,0.063957396,6771997.761771617
197,130,SDSSp0J132629.82 003831.5 [de],65.0,0.048683988,7521735.230998479
198,131,SDSSp0J134646.45 003150.4 [de],48.0,0.042001872,7462441.1961196605
199,132,2MASS0J13595510 4034582,51.0,0.060139044,3867533.7718362664
200,133,ULAS0J141623.94+134836.3,29.7,0.030546816,8729744.442218496
201,134,SDSS0J141659.78+500626.4 [de],149.0,0.056320692,12883304.828578126
202,135,DENIS P0J142527.97 365023.4 [de],38.0,0.020046348,25935226.469960857
203,136,LHS02924,38.5,0.072548688,2006220.1241991832
204,137,2MASS0J14392837+1929150,47.0,0.068730336,2728838.9327631504
205,138,LSPM0J1440+1339,72.0,0.087822096,2560364.9850580688
206,139,2MASS0J14482563+1031590 [de],47.0,0.056320692,4063861.25465216
207,140,CFBDSIR01458+10A,104.0,0.0105959268,254057733.44146794
